cell_id,start_date,end_date,viirs_avg_rad_mean,viirs_avg_rad_std,viirs_cf_cvg_mean,viirs_cf_cvg_min,viirs_cf_cvg_max,viirs_valid_pixel_count,viirs_valid_pixel_fraction
cell_11_17,2024-03-01,2024-04-01,54.667985489119346,8.319008186271752,14.48507462686567,14,15,4,1.0
cell_11_18,2024-03-01,2024-04-01,43.7090676862802,3.4910274383869004,14.0,14,14,4,1.0
cell_11_19,2024-03-01,2024-04-01,40.20212721468797,2.046221501193453,14.07462686567164,14,15,4,1.0
cell_12_00,2024-03-01,2024-04-01,67.36986406345822,10.953454357886466,14.0,14,14,4,1.0
cell_12_01,2024-03-01,2024-04-01,59.7848845827223,12.006107127255563,14.0,14,14,4,1.0
cell_12_02,2024-03-01,2024-04-01,51.20832084043183,5.884205504097023,13.91970802919708,13,14,4,1.0
cell_12_03,2024-03-01,2024-04-01,58.33671727821009,5.413782073766979,13.96641791044776,13,14,4,1.0
cell_12_04,2024-03-01,2024-04-01,56.00410498434038,3.2636210248308917,14.097014925373134,14,15,4,1.0
cell_12_05,2024-03-01,2024-04-01,54.68305841132776,2.7997536866977435,14.126865671641792,14,15,4,1.0
cell_12_06,2024-03-01,2024-04-01,55.4856324665983,2.5352470081984166,14.11619718309859,14,15,4,1.0
cell_12_07,2024-03-01,2024-04-01,44.19721958337241,5.391946903137259,14.109271523178808,14,15,4,1.0
cell_12_08,2024-03-01,2024-04-01,40.19007017587184,5.000216919561578,14.074204946996469,14,15,4,1.0
cell_12_09,2024-03-01,2024-04-01,34.95196860784935,6.19999885559082,15.0,15,15,2,1.0
cell_12_10,2024-03-01,2024-04-01,21.985485532390534,5.875,15.0,15,15,2,1.0
cell_12_11,2024-03-01,2024-04-01,11.855933168041172,0.2349996566772461,15.0,15,15,2,1.0
cell_12_12,2024-03-01,2024-04-01,14.272527074985987,4.046445078956859,15.0,15,15,4,1.0
cell_12_13,2024-03-01,2024-04-01,27.550199914216204,13.238847384115829,15.0,15,15,4,1.0
cell_12_14,2024-03-01,2024-04-01,57.18552086088392,15.088122033293228,14.961805555555555,14,15,4,1.0
cell_12_15,2024-03-01,2024-04-01,81.9240890701464,15.413448450852549,14.87360594795539,14,15,4,1.0
cell_12_16,2024-03-01,2024-04-01,71.19116152359751,15.502396274078787,14.876404494382022,14,15,4,1.0
cell_12_17,2024-03-01,2024-04-01,50.2933589878367,5.312796965289698,14.380597014925373,13,15,4,1.0
